trade_num,date,target_value,pnl,cumsum_pnl,pnl_decimal,portfolio_value,compound_return_pct,actual_profitable,hit_rate_cumulative,drawdown,drawdown_pct
1829,2023-09-11 16:50:00,-0.0754,0.0754,24.40040000000002,0.0007539999999999999,126.12220229972728,26.122202299727277,0,0.4898851831601968,-10.767900000000004,-30.618198775601886
1830,2023-09-12 16:50:00,0.2273,-0.2273,24.17310000000002,-0.002273,125.8355265339,25.835526533899994,1,0.4901639344262295,-10.995200000000004,-31.264519467816175
1831,2023-09-13 16:50:00,-0.0242,0.0242,24.19730000000002,0.000242,125.8659787313212,25.865978731321206,0,0.4898962315674495,-10.971000000000004,-31.195707497945584
1832,2023-09-14 16:50:00,-0.2432,0.2432,24.44050000000002,0.002432,126.17208479159578,26.17208479159578,0,0.4896288209606987,-10.727800000000002,-30.50417563544441
1833,2023-09-15 16:50:00,-0.2262,0.2262,24.66670000000002,0.002262,126.45748604739437,26.45748604739437,0,0.48936170212765956,-10.501600000000003,-29.860982760042415
1834,2023-09-18 16:50:00,0.0801,-0.0801,24.58660000000002,-0.0008010000000000001,126.3561936010704,26.3561936010704,1,0.48964013086150493,-10.581700000000005,-30.088744693374426
1835,2023-09-19 16:50:00,0.0649,-0.0649,24.521700000000017,-0.000649,126.27418843142331,26.274188431423312,1,0.4899182561307902,-10.646600000000007,-30.273285885300112
1836,2023-09-20 16:50:00,0.1367,-0.1367,24.385000000000016,-0.001367,126.10157161583756,26.101571615837557,1,0.49019607843137253,-10.783300000000008,-30.66198821097409
1837,2023-09-21 16:50:00,-0.1598,0.1598,24.544800000000016,0.001598,126.30308192727966,26.303081927279663,0,0.4899292324442025,-10.623500000000007,-30.20760173224182
1838,2023-09-22 16:50:00,0.0994,-0.0994,24.445400000000017,-0.000994,126.17753666384394,26.177536663843938,1,0.49020674646354734,-10.722900000000006,-30.49024263328054
1839,2023-09-25 16:50:00,0.1395,-0.1395,24.305900000000015,-0.0013950000000000002,126.00151900019787,26.001519000197874,1,0.49048395867319194,-10.862400000000008,-30.886906674476734
1840,2023-09-26 16:50:00,0.0486,-0.0486,24.257300000000015,-0.000486,125.94028226196377,25.940282261963773,1,0.4907608695652174,-10.911000000000008,-31.025099308183794
1841,2023-09-29 16:50:00,0.2931,-0.2931,23.964200000000016,-0.0029310000000000004,125.57115129465396,25.57115129465396,1,0.49103747963063554,-11.204100000000007,-31.858520315170196
1842,2023-10-03 16:50:00,0.1595,-0.1595,23.804700000000015,-0.001595,125.37086530833898,25.370865308338978,1,0.49131378935939196,-11.363600000000009,-32.31205375295366
